name,address,building,built_year,floor_number,detail
ネイヴィーフィールド中野,東京都中野区新井３,"{0: 'ＪＲ中央線/中野駅 歩20分', 1: '西武新宿線/沼袋駅 歩6分', 2: '西武新宿線/野方駅 歩12分'}",築46年,4階建,"{0: {'floor': '1階', 'rent-fee': '4.9万円', 'manage-fee': '5000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '16.42m'}}"
ＪＲ京浜東北線 大森駅 2階建 築49年,東京都大田区中央４,"{0: 'ＪＲ京浜東北線/大森駅 歩17分', 1: '都営浅草線/西馬込駅 歩19分', 2: '東急池上線/池上駅 歩21分'}",築49年,2階建,"{0: {'floor': '1階', 'rent-fee': '6.5万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': '1DK', 'room-size': '23.13m'}}"
ヴィラ王子,東京都北区堀船１,"{0: '東京メトロ南北線/王子駅 歩7分', 1: '都電荒川線/栄町駅 歩4分', 2: 'ＪＲ京浜東北線/上中里駅 歩15分'}",築60年,2階建,"{0: {'floor': '1階', 'rent-fee': '3.5万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '8.96m'}}"
東急田園都市線 三軒茶屋駅 2階建 築60年,東京都世田谷区三軒茶屋１,"{0: '東急田園都市線/三軒茶屋駅 歩5分', 1: '東急世田谷線/三軒茶屋駅 歩7分', 2: '東急田園都市線/駒沢大学駅 歩14分'}",築60年,2階建,"{0: {'floor': '2階', 'rent-fee': '4.7万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '17.32m'}}"
豊和コーポ,東京都府中市浅間町４,"{0: 'ＪＲ中央線/武蔵小金井駅 歩27分', 1: None, 2: None}",築39年,2階建,"{0: {'floor': '2階', 'rent-fee': '4.8万円', 'manage-fee': '1000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '21.87m'}}"
ＵＰＰＥＲ　ＨＯＵＳＥ上石神井,東京都練馬区関町南１,"{0: '西武新宿線/上石神井駅 歩10分', 1: None, 2: None}",築55年,2階建,"{0: {'floor': '2階', 'rent-fee': '3.7万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '10.57m'}}"
金子荘,東京都板橋区成増２,"{0: '東京メトロ有楽町線/地下鉄成増駅 歩5分', 1: '東武東上線/成増駅 歩6分', 2: '東京メトロ有楽町線/地下鉄赤塚駅 歩13分'}",築62年,2階建,"{0: {'floor': '1階', 'rent-fee': '4.8万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': '1K', 'room-size': '19m'}}"
東急多摩川線 矢口渡駅 2階建 築61年,東京都大田区多摩川２,"{0: '東急多摩川線/矢口渡駅 歩6分', 1: 'ＪＲ京浜東北線/蒲田駅 歩16分', 2: '東急池上線/蓮沼駅 歩11分'}",築61年,2階建,"{0: {'floor': '1階', 'rent-fee': '5.8万円', 'manage-fee': '1000円', 'other-fee': '-/-/-/-', 'room-shape': '1LDK', 'room-size': '37.4m'}}"
さくらコーポ,東京都西東京市西原町３,"{0: '西武新宿線/田無駅 歩15分', 1: 'ＪＲ中央線/武蔵境駅 バス16分 (バス停)六角地蔵専前 歩3分', 2: '西武新宿線/西武柳沢駅 歩26分'}",築50年,4階建,"{0: {'floor': '2階', 'rent-fee': '6万円', 'manage-fee': '2000円', 'other-fee': '-/-/-/-', 'room-shape': '1SLDK', 'room-size': '37.26m'}}"
朝日ハイツ,東京都豊島区上池袋３,"{0: 'ＪＲ山手線/池袋駅 歩15分', 1: 'ＪＲ埼京線/板橋駅 歩6分', 2: '東武東上線/北池袋駅 歩6分'}",築50年,2階建,"{0: {'floor': '2階', 'rent-fee': '5.2万円', 'manage-fee': '-', 'other-fee': '-/-/-/-', 'room-shape': 'ワンルーム', 'room-size': '14m'}}"
